id,.bss,.comment,.data,.dynamic,.dynstr,.dynsym,.eh_frame,.eh_frame_hdr,.fini,.fini_array,.gnu.hash,.gnu.version,.gnu.version_r,.got,.init,.init_array,.input_size,.interp,.nice_value,.note.ABI-tag,.note.gnu.build-id,.plt,.plt.got,.rela.dyn,.rela.plt,.rodata,.shstrtab,.strtab,.symtab,.text,start_time,end_time,total_time
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,5338,28,0,32,36,96,8,192,120,21,254,623,1776,2431,1522485865163796,1522485865303662,139866
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,3303,28,17,32,36,96,8,192,120,21,254,623,1776,2431,1522485865317554,1522485865376424,58870
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,9092,28,-17,32,36,96,8,192,120,21,254,623,1776,2431,1522485865391486,1522485865798376,406890
bub,74016,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9244,28,3,32,36,80,8,192,96,21,254,603,1752,2358,1522485865811869,1522485866187579,375710
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,8182,28,-8,32,36,96,8,192,120,21,254,623,1776,2431,1522485866203452,1522485866535646,332194
bub,15152,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,1885,28,-3,32,36,80,8,192,96,21,254,603,1752,2358,1522485866549326,1522485866569985,20659
bub,18576,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2311,28,11,32,36,80,8,192,96,21,254,603,1752,2358,1522485866583741,1522485866612545,28804
bub,39232,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,4896,28,18,32,36,80,8,192,96,21,254,603,1752,2358,1522485866626870,1522485866732579,105709
bub,48640,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6070,28,11,32,36,80,8,192,96,21,254,603,1752,2358,1522485866746202,1522485866910092,163890
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,1727,28,10,32,36,96,8,192,120,21,254,623,1776,2431,1522485866924062,1522485866944056,19994
bub,53264,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6650,28,-20,32,36,80,8,192,96,21,254,603,1752,2358,1522485866956519,1522485867152335,195816
bub,55104,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6880,28,-14,32,36,80,8,192,96,21,254,603,1752,2358,1522485867167539,1522485867378235,210696
bub,35600,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,4440,28,4,32,36,80,8,192,96,21,254,603,1752,2358,1522485867391734,1522485867480162,88428
bub,31296,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,3901,28,18,32,36,80,8,192,96,21,254,603,1752,2358,1522485867494135,1522485867565078,70943
bub,36400,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,4541,28,18,32,36,80,8,192,96,21,254,603,1752,2358,1522485867579825,1522485867672893,93068
bub,8272,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,1026,28,-9,32,36,80,8,192,96,21,254,603,1752,2358,1522485867687111,1522485867694342,7231
bub,52928,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6608,28,-10,32,36,80,8,192,96,21,254,603,1752,2358,1522485867707907,1522485867915685,207778
bub,49248,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6145,28,-3,32,36,80,8,192,96,21,254,603,1752,2358,1522485867928677,1522485868097364,168687
bub,67184,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,8390,28,-9,32,36,80,8,192,96,21,254,603,1752,2358,1522485868113506,1522485868425406,311900
bub,8544,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,1058,28,2,32,36,80,8,192,96,21,254,603,1752,2358,1522485868440282,1522485868447305,7023
bub,24240,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,3022,28,17,32,36,80,8,192,96,21,254,603,1752,2358,1522485868460893,1522485868505030,44137
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,1866,28,-1,32,36,96,8,192,120,21,254,623,1776,2431,1522485868517998,1522485868540659,22661
bub,30720,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,3831,28,17,32,36,80,8,192,96,21,254,603,1752,2358,1522485868554081,1522485868621850,67769
bub,31136,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,3884,28,13,32,36,80,8,192,96,21,254,603,1752,2358,1522485868632605,1522485868701352,68747
bub,40560,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,5062,28,-19,32,36,80,8,192,96,21,254,603,1752,2358,1522485868717226,1522485868830917,113691
bub,65664,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,8200,28,4,32,36,80,8,192,96,21,254,603,1752,2358,1522485868844192,1522485869139774,295582
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,1760,28,8,32,36,96,8,192,120,21,254,623,1776,2431,1522485869151847,1522485869172022,20175
bub,16752,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2083,28,-2,32,36,80,8,192,96,21,254,603,1752,2358,1522485869185677,1522485869208627,22950
bub,78400,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9791,28,-6,32,36,80,8,192,96,21,254,603,1752,2358,1522485869222046,1522485869643743,421697
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,6429,28,-4,32,36,96,8,192,120,21,254,623,1776,2431,1522485869659049,1522485869862271,203222
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,3590,28,-13,32,36,96,8,192,120,21,254,623,1776,2431,1522485869876425,1522485869943288,66863
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,9897,28,6,32,36,96,8,192,120,21,254,623,1776,2431,1522485869958311,1522485870440186,481875
bub,35728,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,4458,28,-15,32,36,80,8,192,96,21,254,603,1752,2358,1522485870455426,1522485870543979,88553
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,8798,28,-14,32,36,96,8,192,120,21,254,623,1776,2431,1522485870559555,1522485870939421,379866
bub,59728,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,7456,28,10,32,36,80,8,192,96,21,254,603,1752,2358,1522485870952977,1522485871198164,245187
bub,71856,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,8973,28,-7,32,36,80,8,192,96,21,254,603,1752,2358,1522485871213064,1522485871568013,354949
bub,61856,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,7723,28,16,32,36,80,8,192,96,21,254,603,1752,2358,1522485871583187,1522485871847024,263837
bub,53280,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6651,28,14,32,36,80,8,192,96,21,254,603,1752,2358,1522485871861445,1522485872056446,195001
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,2721,28,-15,32,36,96,8,192,120,21,254,623,1776,2431,1522485872071472,1522485872112200,40728
bub,46000,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,5741,28,-16,32,36,80,8,192,96,21,254,603,1752,2358,1522485872127650,1522485872272087,144437
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,3879,28,10,32,36,96,8,192,120,21,254,623,1776,2431,1522485872286625,1522485872360257,73632
bub,41904,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,5227,28,7,32,36,80,8,192,96,21,254,603,1752,2358,1522485872374375,1522485872494900,120525
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,9481,28,-1,32,36,96,8,192,120,21,254,623,1776,2431,1522485872509750,1522485872951024,441274
bub,53072,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6625,28,-19,32,36,80,8,192,96,21,254,603,1752,2358,1522485872964064,1522485873157076,193012
bub,71376,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,8914,28,-13,32,36,80,8,192,96,21,254,603,1752,2358,1522485873171659,1522485873522989,351330
bub,23552,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2936,28,-16,32,36,80,8,192,96,21,254,603,1752,2358,1522485873538248,1522485873579986,41738
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,4281,28,19,32,36,96,8,192,120,21,254,623,1776,2431,1522485873593852,1522485873685779,91927
