id,.bss,.comment,.data,.dynamic,.dynstr,.dynsym,.eh_frame,.eh_frame_hdr,.fini,.fini_array,.gnu.hash,.gnu.version,.gnu.version_r,.got,.init,.init_array,.input_size,.interp,.nice_value,.note.ABI-tag,.note.gnu.build-id,.plt,.plt.got,.rela.dyn,.rela.plt,.rodata,.shstrtab,.strtab,.symtab,.text,start_time,end_time,total_time
bub,26992,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,3366,28,-6,32,36,80,8,192,96,21,254,603,1752,2358,1522500213820260,1522500213873132,52872
bub,43936,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,5481,28,-7,32,36,80,8,192,96,21,254,603,1752,2358,1522500213888211,1522500214020644,132433
bub,10448,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,1296,28,19,32,36,80,8,192,96,21,254,603,1752,2358,1522500214036089,1522500214047692,11603
bub,63232,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,7894,28,10,32,36,80,8,192,96,21,254,603,1752,2358,1522500214061655,1522500214334335,272680
bub,20576,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2564,28,-19,32,36,80,8,192,96,21,254,603,1752,2358,1522500214350715,1522500214381646,30931
bub,19296,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2403,28,-16,32,36,80,8,192,96,21,254,603,1752,2358,1522500214395915,1522500214425962,30047
bub,9712,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,1206,28,-12,32,36,80,8,192,96,21,254,603,1752,2358,1522500214440297,1522500214450740,10443
bub,9408,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,1167,28,11,32,36,80,8,192,96,21,254,603,1752,2358,1522500214462634,1522500214471123,8489
bub,18640,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2322,28,11,32,36,80,8,192,96,21,254,603,1752,2358,1522500214484417,1522500214510980,26563
bub,32560,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,4061,28,-14,32,36,80,8,192,96,21,254,603,1752,2358,1522500214524873,1522500214598828,73955
bub,54928,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6858,28,9,32,36,80,8,192,96,21,254,603,1752,2358,1522500214612560,1522500214822243,209683
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,8051,28,-12,32,36,96,8,192,120,21,254,623,1776,2431,1522500214839617,1522500215161054,321437
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,3431,28,15,32,36,96,8,192,120,21,254,623,1776,2431,1522500215175798,1522500215236916,61118
bub,68112,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,8504,28,-6,32,36,80,8,192,96,21,254,603,1752,2358,1522500215251233,1522500215570109,318876
bub,48352,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6035,28,10,32,36,80,8,192,96,21,254,603,1752,2358,1522500215584871,1522500215746609,161738
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,7340,28,16,32,36,96,8,192,120,21,254,623,1776,2431,1522500215761482,1522500216031356,269874
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,2638,28,-9,32,36,96,8,192,120,21,254,623,1776,2431,1522500216046794,1522500216085160,38366
