id,.bss,.comment,.data,.dynamic,.dynstr,.dynsym,.eh_frame,.eh_frame_hdr,.fini,.fini_array,.gnu.hash,.gnu.version,.gnu.version_r,.got,.init,.init_array,.input_size,.interp,.nice_value,.note.ABI-tag,.note.gnu.build-id,.plt,.plt.got,.rela.dyn,.rela.plt,.rodata,.shstrtab,.strtab,.symtab,.text,start_time,end_time,total_time
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,2929,28,4,32,36,96,8,192,120,21,254,623,1776,2431,1525360129742232,1525360129789098,46866
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,1896,28,16,32,36,96,8,192,120,21,254,623,1776,2431,1525360129804803,1525360129827752,22949
bub,51360,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6411,28,2,32,36,80,8,192,96,21,254,603,1752,2358,1525360129840941,1525360130022225,181284
bub,31440,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,3919,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525360130036458,1525360130105764,69306
bub,45536,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,5681,28,1,32,36,80,8,192,96,21,254,603,1752,2358,1525360130119812,1525360130262268,142456
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,8198,28,1,32,36,96,8,192,120,21,254,623,1776,2431,1525360130277383,1525360130608703,331320
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,3351,28,0,32,36,96,8,192,120,21,254,623,1776,2431,1525360130622494,1525360130681261,58767
bub,77728,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9707,28,3,32,36,80,8,192,96,21,254,603,1752,2358,1525360130694979,1525360131112989,418010
bub,51856,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6471,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525360131128125,1525360131319315,191190
bub,72816,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9091,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525360131331207,1525360131698338,367131
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,5509,28,19,32,36,96,8,192,120,21,254,623,1776,2431,1525360131712032,1525360131863850,151818
bub,25408,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,3165,28,16,32,36,80,8,192,96,21,254,603,1752,2358,1525360131878367,1525360131926183,47816
bub,27232,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,3396,28,6,32,36,80,8,192,96,21,254,603,1752,2358,1525360131938799,1525360131992690,53891
bub,60048,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,7496,28,2,32,36,80,8,192,96,21,254,603,1752,2358,1525360132007214,1525360132260812,253598
bub,75616,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9442,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525360132277022,1525360132670985,393963
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,1896,28,0,32,36,96,8,192,120,21,254,623,1776,2431,1525360132686682,1525360132710202,23520
bub,71536,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,8931,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525360132723425,1525360133074830,351405
bub,55936,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6982,28,19,32,36,80,8,192,96,21,254,603,1752,2358,1525360133087853,1525360133306103,218250
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,1868,28,0,32,36,96,8,192,120,21,254,623,1776,2431,1525360133325668,1525360133348206,22538
bub,19504,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2429,28,13,32,36,80,8,192,96,21,254,603,1752,2358,1525360133362205,1525360133392674,30469
bub,60048,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,7496,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525360133407625,1525360133655048,247423
bub,42416,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,5292,28,11,32,36,80,8,192,96,21,254,603,1752,2358,1525360133670722,1525360133795551,124829
bub,61072,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,7625,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525360133809992,1525360134065881,255889
bub,17152,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2133,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525360134080690,1525360134105208,24518
bub,35232,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,4395,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525360134117177,1525360134204947,87770
bub,73904,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9229,28,1,32,36,80,8,192,96,21,254,603,1752,2358,1525360134219768,1525360134593407,373639
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,2429,28,0,32,36,96,8,192,120,21,254,623,1776,2431,1525360134608654,1525360134641341,32687
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,8258,28,0,32,36,96,8,192,120,21,254,623,1776,2431,1525360134655954,1525360134989911,333957
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,4137,28,0,32,36,96,8,192,120,21,254,623,1776,2431,1525360135003928,1525360135089128,85200
bub,23616,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2942,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525360135104674,1525360135146106,41432
bub,53568,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6686,28,1,32,36,80,8,192,96,21,254,603,1752,2358,1525360135160738,1525360135356278,195540
bub,72944,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9110,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525360135370413,1525360135735658,365245
bub,50304,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6280,28,2,32,36,80,8,192,96,21,254,603,1752,2358,1525360135750531,1525360135923020,172489
bub,22288,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2777,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525360135937239,1525360135974323,37084
bub,78528,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9807,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525360135988359,1525360136409040,420681
bub,71904,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,8980,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525360136424128,1525360136777882,353754
