model,case,Time for 0 nice value,Time for custom nice value,Time saved,Time saved per program,Percentage of programs better,Ratio of custom and 0 nice
dt,total,48996807,44996825,3999982,11560,54.33526011560693,0.9183623945127689
dt,better,36940088,14240538,22699550,120742,54.33526011560693,0.38550362955280454
dt,worse,12056719,30756287,-18699568,-118352,54.33526011560693,2.550966560637268
dt,total,49781727,45942011,3839716,10846,54.160789844851905,0.9228689675631382
dt,better,38190246,15242458,22947788,119519,54.160789844851905,0.39911913633653995
dt,worse,11591481,30699553,-19108072,-117952,54.160789844851905,2.6484582082306827
dtb,total,50382928,52671150,-2288222,-6538,45.714285714285715,1.0454166141356454
dtb,better,35877261,11981719,23895542,149347,45.714285714285715,0.33396415071930935
dtb,worse,14505667,40689431,-26183764,-137810,45.714285714285715,2.8050713559052474
rf,total,50445096,50065833,379263,1089,48.275862068965516,0.992481667593615
rf,better,36089852,14050339,22039513,131187,48.275862068965516,0.38931550619825206
rf,worse,14355244,36015494,-21660250,-120335,48.275862068965516,2.5088736910358334
knn,total,46066540,49214448,-3147908,-9369,49.33135215453195,1.068333936084629
knn,better,33117488,14161419,18956069,114193,49.33135215453195,0.42761150845740475
knn,worse,12949052,35053029,-22103977,-130024,49.33135215453195,2.706995770810095
mlp,total,45924523,42589745,3334778,9866,52.662721893491124,0.9273856801953065
mlp,better,33100509,13244158,19856351,111552,52.662721893491124,0.4001194664408333
mlp,worse,12824014,29345587,-16521573,-103260,52.662721893491124,2.2883308611484674
