id,.bss,.comment,.data,.dynamic,.dynstr,.dynsym,.eh_frame,.eh_frame_hdr,.fini,.fini_array,.gnu.hash,.gnu.version,.gnu.version_r,.got,.init,.init_array,.input_size,.interp,.nice_value,.note.ABI-tag,.note.gnu.build-id,.plt,.plt.got,.rela.dyn,.rela.plt,.rodata,.shstrtab,.strtab,.symtab,.text,start_time,end_time,total_time
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,1411,28,3,32,36,96,8,192,120,21,254,623,1776,2431,1522545705405336,1522545705416374,11038
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,34,28,6,32,36,64,8,192,72,21,254,585,1704,2039,1522545705400671,1522545705710431,309760
mat,2661448,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,333,28,-10,32,36,80,8,192,96,21,254,612,1800,2678,1522545705409030,1522545705932840,523810
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,93539,28,-9,32,36,112,8,192,144,20,254,655,1824,3227,1522545705404038,1522545705437102,33064
bub,65680,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,8200,28,17,32,36,80,8,192,96,21,254,603,1752,2358,1522546059589001,1522546059906890,317889
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,35,28,16,32,36,64,8,192,72,21,254,585,1704,2039,1522546059587801,1522546060076978,489177
mat,1018560,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,206,28,14,32,36,80,8,192,96,21,254,612,1800,2534,1522546059592863,1522546059715099,122236
ms,779104,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,97379,28,-11,32,36,96,8,192,120,20,254,635,1800,3122,1522546059592176,1522546059625478,33302
bub,56208,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,7015,28,-15,32,36,80,8,192,96,21,254,603,1752,2358,1522546204524567,1522546204740487,215920
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,29,28,16,32,36,64,8,192,72,21,254,585,1704,2039,1522546204523527,1522546204554621,31094
mat,186752,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,108,28,20,32,36,96,8,192,120,21,254,632,1824,2743,1522546204534096,1522546204549093,14997
ms,738800,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,92339,28,13,32,36,96,8,192,120,20,254,635,1800,3122,1522546204527401,1522546204559275,31874
bub,34192,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,4264,28,6,32,36,80,8,192,96,21,254,603,1752,2358,1522546350433804,1522546350523527,89723
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,31,28,11,32,36,64,8,192,72,21,254,585,1704,2039,1522546350432770,1522546350510570,77800
mat,1140672,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,218,28,2,32,36,80,8,192,96,21,254,612,1800,2534,1522546350436902,1522546350570108,133206
ms,699040,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,87369,28,3,32,36,96,8,192,120,20,254,635,1800,3122,1522546350440406,1522546350469316,28910
bub,63040,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,7870,28,8,32,36,80,8,192,96,21,254,603,1752,2358,1522546459924726,1522546460208247,283521
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,35,28,-11,32,36,64,8,192,72,21,254,585,1704,2039,1522546459937797,1522546460415226,477429
mat,384520,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,155,28,0,32,36,96,8,192,120,21,254,632,1824,2743,1522546459926951,1522546459975086,48135
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,21349,28,-3,32,36,112,8,192,144,20,254,655,1824,3227,1522546459925560,1522546459935530,9970
bub,72768,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9085,28,-9,32,36,80,8,192,96,21,254,603,1752,2358,1522546811413510,1522546811787605,374095
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,34,28,2,32,36,64,8,192,72,21,254,585,1704,2039,1522546811407866,1522546811729650,321784
mat,653512,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,165,28,9,32,36,80,8,192,96,21,254,612,1800,2630,1522546811409325,1522546811479136,69811
ms,719984,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,89988,28,-15,32,36,96,8,192,120,20,254,635,1800,3122,1522546811410562,1522546811441813,31251
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,4264,28,9,32,36,96,8,192,120,21,254,623,1776,2431,1522546816290542,1522546816392991,102449
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,31,28,2,32,36,64,8,192,72,21,254,585,1704,2039,1522546816301178,1522546816384866,83688
mat,760512,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,218,28,9,32,36,96,8,192,120,21,254,632,1824,2695,1522546816294138,1522546816406500,112362
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,87369,28,20,32,36,112,8,192,144,20,254,655,1824,3227,1522546816293331,1522546816323976,30645
bub,41136,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,5133,28,9,32,36,80,8,192,96,21,254,603,1752,2358,1522546818309795,1522546818433213,123418
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,34,28,2,32,36,64,8,192,72,21,254,585,1704,2039,1522546818308894,1522546818603449,294555
mat,254144,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,126,28,9,32,36,96,8,192,120,21,254,632,1824,2695,1522546818310271,1522546818333726,23455
ms,508752,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,63584,28,20,32,36,96,8,192,120,20,254,635,1800,3122,1522546818319065,1522546818338929,19864
