id,.bss,.comment,.data,.dynamic,.dynstr,.dynsym,.eh_frame,.eh_frame_hdr,.fini,.fini_array,.gnu.hash,.gnu.version,.gnu.version_r,.got,.init,.init_array,.input_size,.interp,.nice_value,.note.ABI-tag,.note.gnu.build-id,.plt,.plt.got,.rela.dyn,.rela.plt,.rodata,.shstrtab,.strtab,.symtab,.text,start_time,end_time,total_time
bub,20800,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2591,28,3,32,36,80,8,192,96,21,254,603,1752,2358,1525271046128705,1525271046161082,32377
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,36,28,7,32,36,64,8,192,72,21,254,585,1704,2039,1525271046128717,1525271046886749,758032
mat,853896,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,231,28,-12,32,36,96,8,192,120,21,254,632,1824,2695,1525271046132970,1525271046259162,126192
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,62484,28,-11,32,36,112,8,192,144,20,254,655,1824,3227,1525271046130890,1525271046152620,21730
bub,20800,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2591,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525271046931564,1525271046965029,33465
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,36,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525271046942607,1525271047709917,767310
mat,1280776,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,231,28,0,32,36,80,8,192,96,21,254,612,1800,2534,1525271046935243,1525271047094850,159607
ms,499936,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,62484,28,0,32,36,96,8,192,120,20,254,635,1800,3122,1525271046933651,1525271046955715,22064
bub,39056,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,4872,28,3,32,36,80,8,192,96,21,254,603,1752,2358,1525271047752991,1525271047869304,116313
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,31,28,7,32,36,64,8,192,72,21,254,585,1704,2039,1525271047752905,1525271047831233,78328
mat,1868296,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,279,28,-12,32,36,80,8,192,96,21,254,612,1800,2630,1525271047759238,1525271048047599,288361
ms,593232,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,74146,28,-11,32,36,96,8,192,120,20,254,635,1800,3122,1525271047755708,1525271047781554,25846
bub,39040,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,4872,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525271048091952,1525271048207708,115756
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,31,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525271048091836,1525271048169704,77868
mat,1868296,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,279,28,0,32,36,80,8,192,96,21,254,612,1800,2630,1525271048107270,1525271048400950,293680
ms,593248,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,74146,28,0,32,36,96,8,192,120,20,254,635,1800,3122,1525271048095028,1525271048121313,26285
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,6947,28,1,32,36,96,8,192,120,21,254,623,1776,2431,1525271048446856,1525271048696991,250135
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,34,28,-6,32,36,64,8,192,72,21,254,585,1704,2039,1525271048453782,1525271048755228,301446
mat,786376,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,181,28,-4,32,36,80,8,192,96,21,254,612,1800,2534,1525271048449155,1525271048520303,71148
