id,.bss,.comment,.data,.dynamic,.dynstr,.dynsym,.eh_frame,.eh_frame_hdr,.fini,.fini_array,.gnu.hash,.gnu.version,.gnu.version_r,.got,.init,.init_array,.input_size,.interp,.nice_value,.note.ABI-tag,.note.gnu.build-id,.plt,.plt.got,.rela.dyn,.rela.plt,.rodata,.shstrtab,.strtab,.symtab,.text,start_time,end_time,total_time
bub,20576,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2561,28,9,32,36,80,8,192,96,21,254,603,1752,2358,1525272407583312,1525272407615247,31935
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,30,28,13,32,36,64,8,192,72,21,254,585,1704,2039,1525272407583328,1525272407630333,47005
mat,2174536,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,301,28,8,32,36,80,8,192,96,21,254,612,1800,2534,1525272407590193,1525272407922365,332172
ms,586448,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,73295,28,2,32,36,96,8,192,120,20,254,635,1800,3122,1525272407585967,1525272407610845,24878
bub,20560,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2561,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525272407967217,1525272407999980,32763
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,30,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525272407967057,1525272408014795,47738
mat,1449736,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,301,28,0,32,36,96,8,192,120,21,254,632,1824,2695,1525272407974453,1525272408257277,282824
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,73295,28,0,32,36,112,8,192,144,20,254,655,1824,3227,1525272407984363,1525272408009116,24753
bub,31456,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,3923,28,-2,32,36,80,8,192,96,21,254,603,1752,2358,1525272408301074,1525272408375800,74726
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,35,28,-5,32,36,64,8,192,72,21,254,585,1704,2039,1525272408300917,1525272408806738,505821
mat,2366400,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,314,28,6,32,36,80,8,192,96,21,254,612,1800,2534,1525272408327870,1525272408758513,430643
ms,670096,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,83752,28,-4,32,36,96,8,192,120,20,254,635,1800,3122,1525272408308916,1525272408336175,27259
bub,31472,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,3923,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525272408851280,1525272408926140,74860
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,35,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525272408851175,1525272409349512,498337
mat,2366400,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,314,28,0,32,36,80,8,192,96,21,254,612,1800,2534,1525272408871412,1525272409306719,435307
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,83752,28,0,32,36,112,8,192,144,20,254,655,1824,3227,1525272408854395,1525272408884682,30287
bub,79344,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9910,28,-8,32,36,80,8,192,96,21,254,603,1752,2358,1525272409402160,1525272409843556,441396
