id,.bss,.comment,.data,.dynamic,.dynstr,.dynsym,.eh_frame,.eh_frame_hdr,.fini,.fini_array,.gnu.hash,.gnu.version,.gnu.version_r,.got,.init,.init_array,.input_size,.interp,.nice_value,.note.ABI-tag,.note.gnu.build-id,.plt,.plt.got,.rela.dyn,.rela.plt,.rodata,.shstrtab,.strtab,.symtab,.text,start_time,end_time,total_time
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,5301,28,2,32,36,96,8,192,120,21,254,623,1776,2431,1525273921901294,1525273922045060,143766
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,31,28,4,32,36,64,8,192,72,21,254,585,1704,2039,1525273921900793,1525273921976341,75548
mat,1698240,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,266,28,-14,32,36,80,8,192,96,21,254,612,1800,2534,1525273921906051,1525273922146929,240878
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,66894,28,5,32,36,112,8,192,144,20,254,655,1824,3227,1525273921903477,1525273921928105,24628
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,5301,28,0,32,36,96,8,192,120,21,254,623,1776,2431,1525273922190270,1525273922342294,152024
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,31,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525273922206563,1525273922281428,74865
mat,1698240,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,266,28,0,32,36,80,8,192,96,21,254,612,1800,2534,1525273922195123,1525273922437864,242741
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,66894,28,0,32,36,112,8,192,144,20,254,655,1824,3227,1525273922192544,1525273922217401,24857
bub,20288,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2527,28,-7,32,36,80,8,192,96,21,254,603,1752,2358,1525273922483981,1525273922531903,47922
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,35,28,1,32,36,64,8,192,72,21,254,585,1704,2039,1525273922484152,1525273922958675,474523
mat,490888,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,143,28,-15,32,36,80,8,192,96,21,254,612,1800,2598,1525273922485485,1525273922527375,41890
ms,436368,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,54537,28,-6,32,36,96,8,192,120,20,254,635,1800,3122,1525273922503147,1525273922532170,29023
bub,20304,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2527,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525273923002643,1525273923034456,31813
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,35,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525273923002675,1525273923476849,474174
mat,327304,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,143,28,0,32,36,96,8,192,120,21,254,632,1824,2727,1525273923004358,1525273923043751,39393
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,54537,28,0,32,36,112,8,192,144,20,254,655,1824,3227,1525273923023801,1525273923041188,17387
bub,30480,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,3802,28,17,32,36,80,8,192,96,21,254,603,1752,2358,1525273923518867,1525273923600453,81586
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,35,28,-13,32,36,64,8,192,72,21,254,585,1704,2039,1525273923517965,1525273923992253,474288
mat,254728,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,103,28,-9,32,36,80,8,192,96,21,254,612,1800,2502,1525273923522599,1525273923538023,15424
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,40096,28,-9,32,36,112,8,192,144,20,254,655,1824,3227,1525273923519469,1525273923536420,16951
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,3802,28,0,32,36,96,8,192,120,21,254,623,1776,2431,1525273924036364,1525273924110380,74016
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,35,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525273924050416,1525273924516595,466179
mat,254728,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,103,28,0,32,36,80,8,192,96,21,254,612,1800,2502,1525273924036784,1525273924052857,16073
ms,320832,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,40096,28,0,32,36,96,8,192,120,20,254,635,1800,3122,1525273924037518,1525273924053285,15767
bub,41664,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,5200,28,-6,32,36,80,8,192,96,21,254,603,1752,2358,1525273924561339,1525273924689708,128369
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,32,28,-14,32,36,64,8,192,72,21,254,585,1704,2039,1525273924561350,1525273924683139,121789
mat,345864,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,147,28,4,32,36,96,8,192,120,21,254,632,1824,2759,1525273924563066,1525273924604474,41408
ms,723952,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,90483,28,16,32,36,96,8,192,120,20,254,635,1800,3122,1525273924565690,1525273924596603,30913
bub,41664,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,5200,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525273924738826,1525273924861193,122367
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,32,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525273924733262,1525273924852117,118855
