id,.bss,.comment,.data,.dynamic,.dynstr,.dynsym,.eh_frame,.eh_frame_hdr,.fini,.fini_array,.gnu.hash,.gnu.version,.gnu.version_r,.got,.init,.init_array,.input_size,.interp,.nice_value,.note.ABI-tag,.note.gnu.build-id,.plt,.plt.got,.rela.dyn,.rela.plt,.rodata,.shstrtab,.strtab,.symtab,.text,start_time,end_time,total_time
bub,77712,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9705,28,9,32,36,80,8,192,96,21,254,603,1752,2358,1525273277145503,1525273277569423,423920
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,31,28,-11,32,36,64,8,192,72,21,254,585,1704,2039,1525273277153847,1525273277226880,73033
mat,1018560,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,206,28,-12,32,36,80,8,192,96,21,254,612,1800,2534,1525273277149445,1525273277267586,118141
ms,796464,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,99547,28,8,32,36,96,8,192,120,20,254,635,1800,3122,1525273277149640,1525273277183752,34112
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,9705,28,0,32,36,96,8,192,120,21,254,623,1776,2431,1525273277614299,1525273278092994,478695
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,31,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525273277613674,1525273277693406,79732
mat,679104,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,206,28,0,32,36,96,8,192,120,21,254,632,1824,2695,1525273277617417,1525273277720971,103554
ms,796464,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,99547,28,0,32,36,96,8,192,120,20,254,635,1800,3122,1525273277617349,1525273277651733,34384
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,9367,28,13,32,36,96,8,192,120,21,254,623,1776,2431,1525273278137721,1525273278595839,458118
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,33,28,-6,32,36,64,8,192,72,21,254,585,1704,2039,1525273278136779,1525273278341607,204828
mat,1291872,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,232,28,-9,32,36,80,8,192,96,21,254,612,1800,2534,1525273278141403,1525273278319571,178168
ms,358144,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,44760,28,-8,32,36,96,8,192,120,20,254,635,1800,3122,1525273278138276,1525273278154855,16579
bub,75008,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9367,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525273278638911,1525273279052471,413560
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,33,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525273278650536,1525273278854223,203687
mat,1291872,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,232,28,0,32,36,80,8,192,96,21,254,612,1800,2534,1525273278642557,1525273278822366,179809
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,44760,28,0,32,36,112,8,192,144,20,254,655,1824,3227,1525273278640257,1525273278657206,16949
bub,72768,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9085,28,-10,32,36,80,8,192,96,21,254,603,1752,2358,1525273279096534,1525273279468419,371885
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,34,28,9,32,36,64,8,192,72,21,254,585,1704,2039,1525273279096158,1525273279399462,303304
mat,653512,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,165,28,8,32,36,80,8,192,96,21,254,612,1800,2630,1525273279111218,1525273279172339,61121
ms,719984,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,89988,28,-9,32,36,96,8,192,120,20,254,635,1800,3122,1525273279101032,1525273279131992,30960
bub,72768,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9085,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525273279514073,1525273279885870,371797
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,34,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525273279513035,1525273279814608,301573
mat,435720,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,165,28,0,32,36,96,8,192,120,21,254,632,1824,2743,1525273279516333,1525273279582509,66176
ms,719984,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,89988,28,0,32,36,96,8,192,120,20,254,635,1800,3122,1525273279516867,1525273279547245,30378
bub,78112,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9756,28,-10,32,36,80,8,192,96,21,254,603,1752,2358,1525273279925193,1525273280358046,432853
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,34,28,9,32,36,64,8,192,72,21,254,585,1704,2039,1525273279924658,1525273280223332,298674
mat,287424,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,134,28,8,32,36,96,8,192,120,21,254,632,1824,2695,1525273279938917,1525273279963487,24570
ms,307824,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,38469,28,-9,32,36,96,8,192,120,20,254,635,1800,3122,1525273279926100,1525273279940561,14461
bub,78112,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9756,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525273280402042,1525273280834069,432027
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,34,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525273280401727,1525273280698963,297236
mat,287424,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,134,28,0,32,36,96,8,192,120,21,254,632,1824,2695,1525273280403539,1525273280430796,27257
ms,307824,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,38469,28,0,32,36,96,8,192,120,20,254,635,1800,3122,1525273280423313,1525273280434632,11319
bub,68048,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,8497,28,2,32,36,80,8,192,96,21,254,603,1752,2358,1525273280877444,1525273281201205,323761
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,32,28,-7,32,36,64,8,192,72,21,254,585,1704,2039,1525273280877242,1525273280994055,116813
mat,584160,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,156,28,4,32,36,80,8,192,96,21,254,612,1800,2534,1525273280878923,1525273280923842,44919
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,55556,28,-15,32,36,112,8,192,144,20,254,655,1824,3227,1525273280879451,1525273280899646,20195
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,8497,28,0,32,36,96,8,192,120,21,254,623,1776,2431,1525273281246082,1525273281608868,362786
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,32,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525273281245734,1525273281364495,118761
mat,584160,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,156,28,0,32,36,80,8,192,96,21,254,612,1800,2534,1525273281263590,1525273281306722,43132
ms,444512,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,55556,28,0,32,36,96,8,192,120,20,254,635,1800,3122,1525273281247717,1525273281267650,19933
bub,77200,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9642,28,-15,32,36,80,8,192,96,21,254,603,1752,2358,1525273281652980,1525273282066058,413078
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,31,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525273281652419,1525273281728673,76254
mat,301152,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,112,28,10,32,36,80,8,192,96,21,254,612,1800,2566,1525273281653521,1525273281673520,19999
ms,621312,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,77655,28,6,32,36,96,8,192,120,20,254,635,1800,3122,1525273281668946,1525273281693758,24812
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,9642,28,0,32,36,96,8,192,120,21,254,623,1776,2431,1525273282111099,1525273282570513,459414
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,31,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525273282110657,1525273282185310,74653
